absolute direction | a definite direction that never changes
ecological perspective | a perspective focused on the relationships between living things and their environment
ecological shadow | the unintended environmental impacts of human activities on distant ecosystems
ecological shadowing | the unintended environmental impact of human activities extending beyond their immediate location
ecological urbanism | a design strategy for cities that prioritizes nature and the natural resources available to them
economic base model | a theory that divides a region's economy into basic (export-oriented) and non-basic (local-serving) sectors
economic dualism | the coexistence of two distinct economic systems within a single country, often characterized by a formal economy and an informal economy
economic factors | factors based on money
economic geography | the study of how economic activities are distributed in geographical space
economic globalization | the increasing economic interdependence among countries through trade and investment
economic leakage | the loss of income from a region when profits are transferred to external economies
economic liberalization | the process of reducing government restrictions and regulations on the economy to encourage free market competition and investment
economies of scale | economies where more goods and services can be produced for less money on average
ecosystem services | the benefits humans derive from ecosystems, such as clean air, water, and pollination
ecotone | a transitional area between two different ecosystems, often containing unique species
ecotourism | travel that focuses on visiting natural areas to conserve the environment and improve the well-being of local communities
ecumene | the permanently-inhabited portion of the Earth's surface
edge city | nodes of economic activity that have developed in the periphery of large cities
edgeless city | a type of urban development characterized by dispersed, suburban growth with no clear boundaries
Eightfold Path | a path followed by adherents of Buddhism consisting of (1) "right" views, (2) "right" hopes, (3) "right" speech, (4) "right" conduct, (5) livelihood, (6) effort, (7) mindfulness, and (8) meditation
electoral geography | using spatial thinking techniques and tools to analyze elections and voting patterns
electoral volatility | the degree of change in voting patterns between elections within a geographic area
electorate | people of a country who are eligible to vote
elevation | distance of features above sea level
Ellen Churchill Semple | an American geographer who claimed that geography was the study of the influences of the natural environment of people
Ellsworth Huntington | a professor of geography at Yale University during the early 20th century, known for his ideas of environmental determinism
elongated state | a state with a long, narrow shape that can create challenges for communication and governance
emergent urbanism | unplanned urban development driven by social and economic forces rather than formal planning
emerging market | a country with a rapidly growing economy that is transitioning from low to middle-income status, often characterized by increasing foreign investment
emerging markets | economies that are transitioning from developing to developed status, often characterized by rapid growth and industrialization
emigrant | a person who is leaving a country
emigration rate | the number of people leaving a region per 1,000 population annually
eminent domain | a government's legal ability to take land from private citizens, with compensation, for use in public projects, such as roadways or government buildings
empirical geography | the study of geographic phenomena based on observation and data collection rather than theory
enclave | a segment of a state that is geographically isolated from the main territory and entirely surrounded by the territory of another state
Enclosure Acts | a series of laws enacted by the British government that enabled landowners to purchase and enclose land for their own use
enclosure system | the historical process where common land in England was transformed into privately owned land, usually fenced off, during the 18th and early 19th centuries, leading to larger, more efficient farms and significantly impacting rural social structures
endemic | a species or condition that is native to and restricted to a particular geographic area
energy poverty | the lack of access to affordable and reliable energy
energy transition geographies | studies examining how regions shift from fossil fuels to renewable energy sources
energy-efficient buildings | structures designed to reduce energy consumption through improved insulation, efficient appliances, and sustainable building materials
enfranchisement | the act of granting individuals or groups the right to participate fully in a political system
English | a Germanic language originating in England, widely spoken globally as a primary and secondary language
entrepót | a trading center, or simply a ware house, where merchandise can be imported and exported without paying import duties, often at a profit
environment | the natural world and humanity's effect on it
environmental determinism | the theory that argues that human behavior is largely controlled by the physical environment
environmental factors | factors based on environmental conditions
environmental injustice | the disproportionate exposure of minorities and the poor to pollution and its impacts with unequal protection of their rights under the law (AKA environmental racism)
environmental justice | the movement to address the disproportionate environmental burdens placed on marginalized communities
environmental marginality | the exclusion of certain groups from access to natural resources or safe living environments due to social or political factors
environmental policy | regulations and policies aimed at protecting the environment and managing natural resources
Environmental Protection Agency | a U.S. governmental agency tasked with protecting human health and the environment (AKA EPA)
environmental refugees | people displaced due to environmental disasters or degradation
epicentral urbanization | urban growth concentrated around a central point, such as a major city or industrial hub
epidemiological landscapes | spatial patterns of disease distribution influenced by environmental, social, and economic factors
epidemiological transition model | An extension of the demographic transition model that explains changing death rates and common causes of death (AKA ETM)
epochal migration | large-scale population movements tied to significant historical events or shifts
epochs | the four periods of urban history described in Borchert's transportation model
equator | an imaginary line that circles the globe halfway between the North and South poles
equatorial lowlands | geographic regions near the equator characterized by high temperatures, humidity, and biodiversity
Eratosthenes | an Ancient Greek mathematician, geographer, poet, astronomer, and music theorist who coined the name 'geography' and devised the system of latitude and longitude
Ernest Burgess | a sociologist at the University of Chicago who developed the concentric-zone model in 1925
Eskimo-Aleut language family | a language family found in the Arctic regions, including Inuit languages, characterized by polysynthetic structure
Ester Boserup | a scholar who argued that population growth drives innovation in agricultural techniques, challenging Malthusian views on resource depletion
Estonian | a Uralic language spoken in Estonia, closely related to Finnish, known for its vowel harmony
ethnic cleansing | the systematic removal or extermination of a particular ethnic group from a territory, often involving violence or forced migration
ethnic enclave economy | economic activities dominated by a specific ethnic group within a region
ethnic enclaves | neighborhoods filled primarily with people of the same ethnic group
ethnic geography | the study of spatial distributions and interactions of ethnic groups within specific regions
ethnic homeland | a sizable area inhabited by an ethnic minority that exhibits a strong sense of attachment to the region and often exercises some measure of political and social control over it
ethnic nationalism | a form of nationalism that emphasizes the interests of a particular ethnic group, often advocating for its political independence
ethnic neighborhoods | cultural landscapes within communities of people who share a common ethnicity but may not be as concentrated as ethnic enclaves
ethnic religions | belief traditions that emphasize strong cultural characteristics among their followers
ethnic separatism | the advocacy of full political separation from the larger group along cultural, ethnic, tribal, or governmental lines
ethnic stratification | the hierarchical organization of ethnic groups within a society
ethnicity | membership in a group of people who share characteristics
ethnoburb | suburban areas with significant concentrations of ethnic minority populations
ethnocentrism | belief that one’s culture is superior and more important than others
ethnocide | the deliberate destruction of the cultural identity of an ethnic group
ethnogeomorphology | the study of how cultural practices influence the shaping of physical landscapes over time
ethnogeopolitics | the study of how ethnic identities influence political boundaries and territorial disputes
ethnographic | related to cultural phenomena
ethnographic boundaries | borders drawn based on cultural or ethnic characteristics rather than physical geography
ethnographic study | a qualitative research method that involves the in-depth exploration of cultures and communities through observation and participation
ethnography | the study of cultures through direct observation and participation
ethnolinguistic group | a group of people who share a common language and ethnic identity, often influencing cultural practices and social dynamics
ethnonationalism | when people of a country identify as having one common ethnicity, religion, or language
European Union | a political and economic union of 27 democratic European states seeking to create a single-market free-trade zone and move toward a standardized system of laws (AKA EU)
eutrophication zones | areas in water bodies experiencing nutrient overloads
exclave | a territory that is part of a state, yet geographically-separated from the main state by one or more countries
Exclusive Economic Zone | an area up to 200 nautical miles from a country's coast, where the country has rights to explore and use marine resources (AKA EEZ)
exogenous forces | external factors influencing a region's development, such as foreign investment or global trade policies
exotic species | non-native species introduced to an ecosystem, which can disrupt local ecosystems and biodiversity
expansion diffusion | the spread of cultural traits outward through exchange without migration
export processing zones | designated areas where goods can be manufactured and exported with reduced tariffs and regulations to attract foreign investment (AKA EPZs)
exports | goods and services produced in one country and sold to another
extended family | several generations and other family members
extensive agriculture | agricultural systems in which less inputs are used, which typically results in less yield
extensive commercial agriculture | farming on large land with little labor to grow crops or raise animals for sale
extensive subsistent agriculture | farming on large land with little labor to grow food for the family
extractive economies | economies reliant on the extraction and exportation of natural resources, often leading to environmental degradation
extraterritoriality | the ability of a country to apply its laws to people, property, or events outside of its borders
exurban enclaves | residential areas located beyond the suburbs, often characterized by low-density housing and natural surroundings
exurban flux zones | areas experiencing rapid change due to suburban expansion into rural regions
exurban sprawl | low-density development beyond suburban areas
exurbanization | the movement of people from urban areas to less populated, often rural areas
exurbs | prosperous residential districts beyond the suburbs
factor model | a theoretical model that explains how different factors, such as economy and geography, influence human behavior and interactions
factors of production | the resources needed to produce goods and services, typically classified as land, labor, capital, and entrepreneurship
factory farming | a capital-intensive livestock operation in which many animals are kept in close quarters, bred and fed in a closed environment
fair trade movement | a global movement aimed at ensuring that producers in developing countries receive fair wages and working conditions for their goods
fallow land | agricultural land that is left uncultivated for a period of time to allow it to recover and regain fertility
false conclusions | inaccurate generalizations or judgments based on inappropriate, insufficient, or misleading data
family planning | methods that help families think about when they want to have children and how many
family reunification policies | policies that allow migrants to sponsor family members who migrate to the country
farm subsidies | financial assistance provided by governments to farmers
farming system | an integrated set of farming activities and practices
farmland preservation | efforts to protect and maintain agricultural land from being developed or converted to non-agricultural uses
fasting | abstaining from food or drink
favelas | neighborhoods marked by extreme poverty, homelessness, and lawlessness (AKA barrios)
federal government | a government with a central authority that shares power with regional or local governments
federal state | a state that unites separate political entities into an overarching system that allows each entity to maintain some degree of sovereignty
federalism | a political system where power is shared between national and local governments
feedlots | confined spaces in which cattle and hogs have limited movement (AKA concentrated animal feeding operations AKA CAFOs)
feitorias | Portuguese trading posts established along the African and Asian coasts during the Age of Exploration
feminism | a movement advocating for the rights and equality of women in society
feminization of poverty | the increasing proportion of the poor who are women
Fertile Crescent | a crescent-shaped region in the Middle East where the earliest civilizations developed due to fertile land and reliable water sources
field observation | physically-visiting a location, place, or region and recording information there
field study | research conducted outside a laboratory, in a natural or real-world setting
fieldwork | observing or recording information on location
Fifth Pillar of Islam | the pilgrimage to Mecca at least once in a lifetime if financially and physically able (AKA Hajj)
Filipino | the national language of the Philippines, based on Tagalog, serving as a lingua franca for diverse linguistic groups
filtering | the process where housing in a neighborhood gradually changes hands from one socioeconomic group to another
Finnish | a Uralic language spoken in Finland
First Agricultural Revolution | the transition from hunter-gatherer societies to settled agriculture, marking the beginning of farming and domestication of animals (AKA Neolithic Revolution)
First Industrial Revolution | the initial phase of industrialization in the late 18th century characterized by mechanization and the rise of factories (AKA early industralization)
First Pillar of Islam | the declaration of faith, stating belief in the oneness of God and Muhammad as his messenger (AKA Shahada)
first place | home
First World | the Western capitalist bloc
fiscal scale | a measure of the financial capacity of an organization or government relative to its size and operations
Five Pillars of Islam | the fundamental acts of worship and practice that all Muslims are expected to observe
flow | movement of people, goods, and information and the effect of those movements on society
flow map | a thematic map that illustrates the movement of people, goods, or information between locations, often using arrows to indicate direction and volume
flow of capital | the movement of money for the purpose of investment, trade, or business production
folk culture | beliefs and practices of small, homogeneous groups of people
folk housing | traditional homes built using local materials and styles, reflecting cultural norms
food desertification zones | urban or rural areas increasingly lacking access to affordable, nutritious food due to systemic factors
food deserts | neighborhoods where residents have little to no access to healthy and affordable food
food distribution system | a network of trade and transportation to get food from farms to consumers
food insecurity | lack of access to adequate food because of limited money or resources
food processing | the transformation of agricultural products into food or taking food items and transforming them into a different type of food
food security | the state of having reliable access to a sufficient quantity of affordable, nutritious food
food sovereignty | the right of people to define their own food systems, emphasizing local production and self-determination
food sovereignty movement | advocacy for local control over food production systems
food sovereignty zones | regions where local communities maintain control over food production systems to ensure sustainability and equity
footloose | the ability for a business to leave a location and move to a new location quickly and easily
foragers | small nomadic groups who had primarily plant-based diets and ate small animals or fish for protein
forced migration | people are compelled to move to a new place
Fordism | a system of mass production, characterized by standardized goods, assembly lines, and high levels of labor specialization, allowing for large-scale manufacturing of affordable products
foreign direct investment | investment made by a company or individual in one country in business interests in another country (AKA FDI)
formal economy | economic activities that are regulated by the government and taxed
formal region | an area that has one or more shared traits (AKA uniform region AKA homogeneous region)
formal sector | the portion of the economy that is monitored by government
forward-thrust capital | a capital city that is purposely relocated to a specific region to promote development or assert political control, aiming to integrate peripheral areas into the broader state
fossil fuels | natural resources such as coal, oil, and natural gas formed from the remains of ancient plants and animals, used as a primary energy source
Four-Level Analysis | a spatial framework to guide thinking to a geographer's standpoint
Fourth Pillar of Islam | fasting from dawn to sunset during the month of Ramadan to purify the soul (AKA Sawm)
fragmentation | the division of regions into smaller, often uncoordinated parts, affecting governance and policy
fragmented state | a state that is not contiguous but rather consists of multiple separated pieces of territory
free market economy | an economic system where supply and demand determine prices and production with minimal government intervention
free trade | an economic policy that allows goods and services to be traded across borders with little to no government interference
free trade zones | designated geographic areas within a country where goods can be imported, stored, manufactured, and re-exported without paying customs duties or tariffs (AKA FTZs)
free-market economy | an economy in which supply and demand determine the outcome of competition for land without government intervention
French long-lot system | a method of land division used during French settlement of North America that divided land into narrow, ribbon-shaped parcels that ran parallel to the waterfront
friction of distance | the idea that when things are farther apart, they are less connected
Friedrich Ratzel | a German geographer and ethnographer who pioneered the belief of environmental determinism
front offices | the customer-facing part of a business, like sales and customer service
frontier | a geographic area where no state has direct power or control over
functional polycentricity | multiple centers of economic activity within a single region
functional region | an area organized by its function around a focal point (AKA nodal region)
functional zonation | the idea that portions of an urban area (regions or zones within a city) have specific or distinct purposes
functioning urban area | a central city and its surrounding suburbs, forming an interconnected community
fundamentalism | an attempt to follow a literal interpretation of a religious faith
galactic city model | a decentralized urban landscape where a central city is surrounded by multiple, self-sufficient edge cities connected by major transportation arteries
gated communities | walled or fenced neighborhoods with limited access and entry points
gender gap | the difference in privileges, opportunities, and rights afforded to males and females in a society
gender identity | one’s innermost concept of self
gender inequality | the unequal opportunities, treatment, or rights of a person based on gender
gender inequality index | a composite measure of several factors on gender disparity (AKA GII)
gender preference | a preference of one gender over another
gender-specific obstacles | discriminatory practices that prevent females from reaching their potential productivity
gendered landscapes | places designated for a specific gender (AKA gendered spaces)
genetic classification of boundaries | classification of boundaries based on how they were generated
genetically-modified organism | an organism whose genetic makeup has been altered using biotechnology (AKA GMO)
genocide | the intentional and systematic extermination of a particular group of people based on ethnicity, nationality, religion, or other identifying factors
gentrification | the process of converting an urban inner-city neighborhood from a mostly low-income, renter-occupied area to a predominantly wealthier, owner-occupied area of a city
Geo-Inquiry Process | a five-step method to help develop geographic thinking skils and become informed
geocaches | containers hidden in various locations, often used in geocaching, that hold a logbook and sometimes small trinkets for finders
geocaching | a recreational activity where participants use GPS to hide and seek geocaches
geodemographic analysis | practice of assessing the location and composition of particular populations.
geodemographics | the analysis of demographic data in relation to geographic locations to identify patterns of behavior and preferences
geoengineering | large-scale interventions in Earth’s climate system to combat or mitigate climate change
geoethics | a field of study that examines the ethical implications of geographical research and practices, particularly regarding environmental justice and equity
geoethnography | a method of studying the cultural practices of a group in relation to their geographic environment
Geographic Information Science | the academic discipline that studies data and technology related to geographic information systems (AKA GIScience)
Geographic Information Systems | computer systems that store and analyze geospatial data from various maps for planning and analysis (AKA GIS)
geographic scale | the area of the world being studied (AKA relative scale)
geographical imagination | the way people perceive and understand the world, influenced by their cultural, social, and historical contexts
geoheritage sites | locations of geological significance preserved for their scientific, cultural, or educational value
geometric boundaries | perfectly straight boundaries that are mathematical and usually follow lines of latitude and longitude
geometric phenomena | phenomena in a regular arrangement
geopolitical code | the strategic assumptions a country uses to define its foreign policy and interactions with other states
geopolitical hotspot | a region of significant political tension or conflict due to strategic location or resources
geopolitics | the study of the effects of geography on politics and relations among states
George Perkins Marsh | an American diplomat and philologist who was the first to suggest that human beings are significant agents of environmental change
Georgian | a Kartvelian language spoken in Georgia
geospatial analytics | the use of data analysis tools to interpret and visualize geographic data for decision-making
geospatial data | data that is both quantitative and spatial
geospatial intelligence | information derived from the analysis of geospatial data
geospatial intelligence networks | systems that use geographic data to inform decision-making in fields like defense, disaster management, and urban planning
geovisualizations | 2D or 3D interactive maps created from collected data
Germanic languages | a branch of the Indo-European language family, including languages like English and German, known for their shared linguistic features
gerrymandering | the manipulation of electoral district boundaries to favor one political party over another, affecting electoral outcomes
ghetto | an area of poverty occupied by a minority group as a result of discrimination
ghettoization | the process by which certain groups are confined to specific urban areas due to social, economic, or political pressures
gig economy | a labor market characterized by short-term contracts or freelance work, often facilitated by digital platforms and technology
Gini coefficient | a measure of the distribution of income within a population (AKA Gini index)
glass ceiling | barrier for women to optain upper-level jobs
global commons | natural resources not owned by any one nation but shared globally
global culture | worldwide adoption of particular elements of society
global economy | the interconnected economic activities of nations around the world, influenced by trade, investment, and capital flows across borders
global geomorphology | the study of landforms shaped by glacial processes
global north | a term referring to more economically developed regions
Global Positioning System | a system using satellites to determine precise locations for navigation and mapping (AKA GPS)
global scale | the geographic scale consisting of the entire world
global south | a term used to describe less economically developed regions
global supply chain | the worldwide network of suppliers, manufacturers, and distributors that facilitate the production and delivery of goods
global urban hierarchy | ranking of cities based on their global economic influence
global workforce | the total pool of individuals available for work in the global economy, influenced by migration, labor policies, and market demands
global-local continuum | the notion that what happens at the global scale has a direct effect on what happens at the local scale, and vice-versa
globalization | increased integration of the world economy since the 1970s
glocal governance | the interconnected governance of global and local policies, often addressing global issues at a local level
glocalization | a form of syncretism that involves the creation of products or services for the global market by adapting them to local cultures
Golden Temple | the holiest Sikh gurdwara located in Amritsar, India (AKA Harmandir Sahib)
gongs | large, circular percussion instruments often used in various religious ceremonies and rituals, especially in Buddhist and some East Asian traditions
government | the organization or system through which a community or nation is governed, responsible for creating and enforcing laws, policies, and public services
graduated symbol maps | maps that use symbols of different sizes to indicate different amounts of something (AKA proportional symbol maps)
grain elevator | a large structure used to store and transport grain, typically used to move grain from farms to markets or processing plants
grain farming | large-scale production of cereal crops like wheat or corn, common in cooler climates like the U.S. Midwest
granular geography | detailed and fine-scale analysis of geographic data for localized insights
grassroots urbanism | community-led initiatives to address urban challenges without reliance on formal government planning
grayfield redevelopment | revitalization of underused commercial properties like malls or parking lots into productive spaces
green economy | an economic model that aims for sustainable development without degrading the environment, focusing on renewable resources and sustainable practices
green gentrification | urban redevelopment that improves environmental quality but displaces lower-income residents
green infrastructure | a network of natural and semi-natural features, green spaces, and water management systems designed to enhance environmental quality and urban resilience
Green Revolution | the advances in plant biology of the mid-20th century (AKA Third Agricultural Revolution)
green technology | technology designed to reduce negative impacts on the environment, including energy efficiency and waste reduction
greenbelt | an area of recreational parks or other undeveloped land
greenfield development | the development of land that has never been used for urban purposes, typically in rural or undeveloped areas
greenfield urbanism | the development of entirely new urban areas on previously undeveloped land
greenwashing | the practice of misleading consumers about the environmental benefits of a product or service to promote a favorable public image
Griffin-Ford model | a model that illustrates the spatial structure of Latin American cities, featuring a central plaza and sectors radiating outward
gross domestic product | the dollar amount of all final goods and services produced within a country in one year (AKA GDP)
gross national income | the total amount of money earned by a nation's people and businesses (AKA GNI)
gross national product | the total value of all goods and services produced by a country's economy during a specific period of time (AKA GNP)
growing season | the period of the year during which crops can be grown based on climate conditions
growth poles | places of economic activity clustered around one or more high-growth industries that stimulate economic growth by capitalizing on some special asset (AKA growth centers)
guerilla warfare | a form of irregular warfare in which small groups use tactics like ambushes and sabotage to fight larger conventional forces
guest workers | transnational migrants who relocate to a new country to provide labor that isn’t available locally
guest-worker policies | policies that regulate the number of workers who can temporarily enter each country to work in specific industries for a defined amount of time
gurdwaras | places of worship for Sikhs, serving as community centers that promote equality, sharing, and devotion to God
Guru Nanak | the founder of Sikhism and the first of the ten Sikh Gurus, known for teaching equality and devotion to one God
habitat compression | the reduction of available living space for species due to urbanization or deforestation
habitat fragmentation | the process by which habitat loss results in the division of large, continuous habitats into smaller, isolated remnants
habitat loss | the destruction or alteration of the natural environment, leading to a decline in wildlife populations
harmonic urbanism | urban planning that integrates natural landscapes and human development to create sustainable environments
Harris and Ullman multiple-nuclei model | a theory of urban land use that proposes cities develop around multiple centers or "nuclei," rather than a single central business district, with each nucleus serving a distinct function
Hawaiian | an Austronesian language spoken in Hawaii, known for its unique phonetic system and cultural significance
Hebrew | a Semitic language primarily spoken in Israel, known for its revival as a modern language after centuries of liturgical use
Hebrew Bible | the sacred texts of Judaism, consisting of the Tanakh, which includes the Torah, Prophets, and Writings (AKA Old Testament)
hedonistic migration | movement of individuals to seek a higher quality of life, often related to leisure or lifestyle preferences
Henry Ford | an innovator in the automobile industry who introduced the concept of interchangeable parts and the assembly line method of production]
Herodotus | the first writer to apply a scientific method to historical events
hetereogeneous migration | migration patterns involving diverse groups with varying cultural or economic backgrounds
hexagonal hinterlands | the spatial pattern predicted by the central-place theory, where the areas surrounding a central city or settlement are divided into hexagonal shapes, with each hexagon representing a hinterland
hierarchical diffusion | the spread of cultural traits outward from more interconnected places or centers of wealth or influence
hierarchical organization | the arrangement of people or entities according to levels of importance or authority
high seas | areas of the ocean that are not within any country's jurisdiction, beyond the EEZs, where no single country has control
high-tech corridor | a region known for its concentration of technology-based industries and research institutions, often leading to economic growth
higher-order services | specialized services that require a large market area to be sustainable
hijacking | redrawing two districts in order to force two elected representatives of the same party to run against each other
Hindi | an Indo-Aryan language primarily spoken in India, characterized by its use of the Devanagari script
Hinduism | an ancient religion originating in India characterized by a belief in reincarnation and a multitude of deities (AKA Sanatana Dharma)
hinterland | the area surrounding a central place, providing resources or services for the urban center (AKA backcountry)
Holocaust | the systematic, state-sponsored persecution and murder of six million Jews, along with millions of others, by Nazi Germany and its collaborators during World War II (AKA the Shoah)
Homer Hoyt | an American economist known for his pioneering work in land use planning, zoning, and real estate economics
Homestead Act (1862) | U.S. government gave land to settlers willing to farm it for 5 years
homogeneity | the quality of being uniform or similar in nature
homogeneous | comprised of largely ethnically-similar people
homogenization | becoming more alike
Horn of Africa | a northeastern African region encompassing countries like Somalia and Ethiopia, known for its diverse cultures and languages (AKA East Africa)
horticulture | a type of agriculture that includes market gardening, truck farming, and dairy farming
human capital | the economic value of the skills, knowledge, and experience possessed by an individual or population
human development index | a summary measure of a country's average achievements in the three areas of human development (AKA HDI)
human geography | study of the spatial characteristics of humans and human activities
human migration | the movement of people from one place to another
Human Mobility Index | a measure of the ease with which people can move within and between regions (AKA HMI)
human trafficking | the recruitment, transportation, harboring or receipt of persons by improper means (such as force, abduction, fraud or coercion)
human-environment interaction | the idea that people always depend upon, adapt, and modify their environment
humanitarian aid | assistance provided for humanitarian purposes, typically in response to humanitarian crises
humanitarianism | the promotion of human welfare and social reform
Hungarian | a Uralic language spoken in Hungary
hybrid | a plant or animal variety created by crossbreeding two different species or breeds, combining the desirable traits of each to produce a new, improved organism, often used in agriculture to achieve higher yields or disease resistance
hybrid governance | a political system combining traditional and modern structures to manage regions effectively
hybridization | the process of breeding two plants that have desirable characteristics to produce a single seed with both characteristics (AKA seed hybridization)
hydraulic civilization | a society that relies on large-scale water management systems for agriculture and urban development
hydro-social cycle | the interaction between water systems and social processes
hydropolitics | the politics surrounding the use and distribution of water resources across regions or nations
hydroponics | a method of growing plants without soil, using mineral nutrient solutions in water
hyperlocal economies | economic systems focused on producing and consuming goods within a very small geographic area
Ibn Battuta | an extensive traveler or explorer, whose account documents his travels and side-excursions over a period of almost thirty years, covering around 73,000 miles
identity | how humans make sense of themselves
identity politics | political positions based on the interests and perspectives of social groups with shared characteristics, such as race, gender, or ethnicity
Immanuel Kant | an Enlightenment philosopher who distinguished the specific fields of knowledge as disciplines (including geography)
Immanuel Wallerstein | a sociologist and economist who developed the World Systems Theory, analyzing global economic systems and the relationships between core, semi-periphery, and periphery nations
immigrant | a person who migrates across an international border with the intention of staying permanently
immigrant enclave | a geographical area with a high concentration of immigrants from the same country or region, often providing social and cultural support
imperialism | a variety of ways of influencing another country or group of people by direct conquest, economic control, or cultural dominance
impervious surface | surfaces that do not allow water to penetrate, contributing to runoff and urban flooding
impervious surfaces | surfaces that do not allow water to penetrate, contributing to runoff and erosion
imports | goods and services brought into a country from abroad for sale
inalienable rights | fundamental rights that cannot be surrendered or transferred, such as life, liberty, and the pursuit of happiness (AKA natural rights)
inclusionary zoning | a municipal planning ordinance that requires a certain percentage of new housing units within a development to be affordable for people with low to moderate incomes
incorporation | the act of legally joining together to form a new city
independent innovation | when a cultural trait or practice develops in multiple places around the world simultaneously, without any direct influence from one another
independent invention | the development of similar innovations in different cultures without direct influence from one another
indigenous culture | the culture of members of an ethnic group residing in their ancestral lands and possessing unique cultural traits
indigenous knowledge | traditional knowledge held by indigenous communities, often related to their local environment
indigenous knowledge systems | traditional ecological knowledge and practices held by indigenous communities, often essential for sustainable resource management
Indo-Aryan languages | a branch of the Indo-European family, primarily spoken in India and surrounding regions, including Hindi and Bengali
Indo-European language family | a widespread language family including languages such as English, Spanish, and Hindi
industrial belt | a region characterized by a concentration of manufacturing and industrial activities
industrial cluster | a geographic concentration of interconnected businesses and industries in a particular field, promoting innovation and competitiveness
industrial zone | the zone outside the CBD dedicated to industry, including manufacturing, warehousing, transportation, and more
industry | the process of using machines and large-scale processes to convert raw materials into manufactured goods
infant mortality rate | the number of children who die before their first birthday (AKA IMR)
infanticide | the killing of an infant
infill development | the process of developing vacant or underused parcels within existing urban areas, promoting efficient land use
infilling | the process of developing vacant or underutilized land within existing urban areas, often to increase density and reduce sprawl
informal boundaries | boundaries that mark spheres of influence for powerful countries
informal economy zones | geographic areas in which significant portions of economic activity occur outside of government regulation
informal housing sector | unregulated housing often lacking legal recognition or services
informal sector | the portion of the economy that is not monitored by government (AKA underground economy AKA shadow economy)
informal settlements | residential areas that have been constructed without legal permission or adherence to formal planning regulations (AKA squatter settlements)
informal urbanism | unplanned urban development characterized by informal housing and infrastructure outside formal regulatory frameworks
informatics | the creation, development, and operation of databases and other computing tools to collect, organize, and interpret data
infrastructure | the facilities and structures that allow people to carry out their typical activities
inner city | residential areas surrounding the central business district
institutional language | a language used in professional, governmental, mass media, or educational settings
insurgent state | a territory governed by a rebel group that is not recognized by the international community
intensive agriculture | agricultural systems in which farmers use large inputs to maximize yields
intensive commercial agriculture | farming with a lot of labor and money to grow crops or raise animals for sale on small land
intensive subsistent agriculture | farming with a lot of labor to grow food for the family on small land
intercontinental migration | the movement of people across continents, often involving significant cultural and economic exchanges
intercropping | a technique in which farmers grow two or more crops simultaneously on the same field (AKA multicropping)
interdependence | the reliance of countries on one another for goods, services, and resources, often in a globalized economy
interfaith dialogue | communication and interaction between people of different religious beliefs to promote understanding and respect
intergenerational mobility | the ability of individuals or families to improve their economic status relative to their parents
intermodal | able to be carried or transported on a truck, train, ship, or plane
intermodal transport | the use of multiple modes of transportation for moving goods and people, enhancing efficiency and connectivity
intermodal transportation | the use of more than one mode of transport to move goods or people
internal boundaries | boundaries used at the subnational scale to divide countries into smaller, manageable units of governance
internal migration | migration that occurs within a country
internally-displaced persons | people who have been forced to flee their homes but remain within country borders (AKA IDPs)
international boundaries | boundaries that create borders between countries
International Date Line | a line extending from the North to South Pole that roughly follows the 180° line of longitude
international financial institution | a global organization that manages and facilitates international financial transactions (AKA IFI)
international law | a set of rules and agreements that govern the relationships between countries and their conduct towards each other
International Monetary Fund | an international organization that aims to promote global monetary cooperation, financial stability, and facilitate international trade (AKA IMF)
interregional migration | movement from one region of a country to another
interstitial space | areas between structures or uses, often overlooked in urban planning
intervening obstacles | barriers that make it more difficult to reach a desired destination
intervening opportunities | opportunities found along an immigrant’s travel that disrupts their original migration plan
intervention | government or organizational actions taken to improve conditions in a community or country
intraregional migration | movement within one region of a country
